symbol,exchange,date,adjusted close,option symbol,expiration,strike,log(strike),call/put,style,ask,log(ask),bid,log(bid),mean price,log(mean price),iv,volume,log(volume),open interest,log(open interest),stock price for iv,*,delta,vega,gamma,theta,rho
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00013000,03-01-2020,13,1.113943352,P,A,0.75,-0.124938737,0.47,-0.327902142,0.61,-0.214670165,0.956989,5546,3.743979865,8381,3.923295841,12.7,,-0.588838,0.004507,0.354599,-0.071353,-0.000586
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00013500,03-01-2020,13.5,1.130333768,C,A,0.25,-0.602059991,0.2,-0.698970004,0.225,-0.647817482,1.122462,5903,3.771072783,2511,3.399846713,12.7,,0.29186,0.003953,0.265656,-0.074124,0.000286
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00013500,03-01-2020,13.5,1.130333768,P,A,1.08,0.033423755,0.85,-0.070581074,0.965,-0.015472687,0.971006,1694,3.228913406,1025,3.010723865,12.7,,-0.742196,0.003834,0.290401,-0.059982,-0.000711
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00014000,03-01-2020,14,1.146128036,C,A,0.21,-0.677780705,0.1,-1,0.155,-0.809668302,1.317126,4029,3.605197267,4605,3.663229635,12.7,*,0.225067,0.003454,0.197798,-0.075948,0.00022
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00014000,03-01-2020,14,1.146128036,P,A,1.7,0.230448921,1.24,0.093421685,1.47,0.167317335,1.067549,1379,3.139564266,6446,3.809290301,12.7,*,-0.83157,0.002846,0.205856,-0.051244,-0.000769
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00014500,03-01-2020,14.5,1.161368002,C,A,0.2,-0.698970004,0.13,-0.886056648,0.165,-0.782516056,1.51179,1101,3.041787319,1715,3.234264124,12.7,,0.184734,0.003071,0.153214,-0.077477,0.000179
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00014500,03-01-2020,14.5,1.161368002,P,A,2.36,0.372912003,1.38,0.139879086,1.87,0.271841607,1.164091,293,2.46686762,765,2.883661435,12.7,,-0.885984,0.002238,0.144734,-0.042685,-0.000795
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00015000,03-01-2020,15,1.176091259,C,A,0.15,-0.823908741,0.05,-1.301029996,0.1,-1,1.51179,1465,3.165837625,2100,3.322219295,12.7,*,0.126142,0.002385,0.119016,-0.060174,0.000123
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00015000,03-01-2020,15,1.176091259,P,A,2.45,0.389166084,2.1,0.322219295,2.275,0.356981401,1.164091,128,2.10720997,520,2.716003344,12.7,*,-0.937132,0.001485,0.093057,-0.027158,-0.000769
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00015500,03-01-2020,15.5,1.190331698,P,A,3.15,0.498310554,2.63,0.419955748,2.89,0.460897843,1.164091,23,1.361727836,114,2.056904851,12.7,*,-0.967692,0.000893,0.054974,-0.015712,-0.000696
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00016000,03-01-2020,16,1.204119983,C,A,0.15,-0.823908741,0.04,-1.397940009,0.095,-1.022276395,1.51179,898,2.953276337,2181,3.338655666,12.7,*,0.053079,0.001245,0.062135,-0.031408,0.000052
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00016000,03-01-2020,16,1.204119983,P,A,5,0.698970004,1.73,0.238046103,3.365,0.526985069,1.164091,47,1.672097858,298,2.474216264,12.7,*,-0.984701,0.000482,0.030019,-0.008206,-0.000578
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00016500,03-01-2020,16.5,1.217483944,C,A,0.9,-0.045757491,0.01,-2,0.455,-0.341988603,1.51179,80,1.903089987,1221,3.086715664,12.7,*,0.032868,0.000845,0.042155,-0.021307,0.000033
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00016500,03-01-2020,16.5,1.217483944,P,A,5.95,0.774516966,1.5,0.176091259,3.725,0.571126277,1.164091,10,1,90,1.954242509,12.7,*,-0.993393,0.000228,0.015426,-0.003807,-0.000426
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00017000,03-01-2020,17,1.230448921,P,A,5.8,0.763427994,2.85,0.45484486,4.325,0.635986112,1.164091,4,0.602059991,119,2.075546961,12.7,*,-0.997683,0.000087,0.007492,-0.001404,-0.000235
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00017500,03-01-2020,17.5,1.243038049,P,A,6.45,0.809559715,2.02,0.305351369,4.235,0.626853415,1.164091,1,0,48,1.681241237,12.7,*,-0.99967,0.000017,0.003,-0.000234,-0.000018
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00018000,03-01-2020,18,1.255272505,C,A,0.15,-0.823908741,0.01,-2,0.08,-1.096910013,1.51179,85,1.929418926,970,2.986771734,12.7,*,0.006661,0.000215,0.010714,-0.005414,0.000007
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00018000,03-01-2020,18,1.255272505,P,A,6.7,0.826074803,2.74,0.437750563,4.72,0.673941999,1.164091,48,1.681241237,143,2.155336037,12.7,*,-1,0,0,0,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00018500,03-01-2020,18.5,1.267171728,C,A,0.17,-0.769551079,0.01,-2,0.09,-1.045757491,1.51179,70,1.84509804,1467,3.166430114,12.7,*,0.003737,0.000128,0.006403,-0.003236,0.000004
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00019000,03-01-2020,19,1.278753601,C,A,0.04,-1.397940009,0.01,-2,0.025,-1.602059991,1.51179,12,1.079181246,130,2.113943352,12.7,*,0.002055,0.000075,0.003734,-0.001887,0.000002
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00019500,03-01-2020,19.5,1.290034611,C,A,0.17,-0.769551079,0.01,-2,0.09,-1.045757491,1.51179,1,0,106,2.025305865,12.7,*,0.00111,0.000043,0.002129,-0.001076,0.000001
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00019500,03-01-2020,19.5,1.290034611,P,A,8.95,0.951823035,4.5,0.653212514,6.725,0.827692289,1.164091,4,0.602059991,7,0.84509804,12.7,*,-1,0,0,0,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00020000,03-01-2020,20,1.301029996,C,A,0.02,-1.698970004,0.01,-2,0.015,-1.823908741,1.51179,26,1.414973348,535,2.728353782,12.7,*,0.00059,0.000024,0.001189,-0.000601,0.000001
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00020000,03-01-2020,20,1.301029996,P,A,9.95,0.997823081,5.75,0.759667845,7.85,0.894869657,1.164091,10,1,91,1.959041392,12.7,*,-1,0,0,0,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00020500,03-01-2020,20.5,1.311753861,C,A,0.02,-1.698970004,0.01,-2,0.015,-1.823908741,1.51179,5,0.698970004,587,2.768638101,12.7,*,0.000309,0.000013,0.000652,-0.00033,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103C00021000,03-01-2020,21,1.322219295,C,A,0.02,-1.698970004,0.01,-2,0.015,-1.823908741,1.51179,3,0.477121255,3422,3.534280005,12.7,*,0.000159,0.000007,0.000352,-0.000178,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200103P00024500,03-01-2020,24.5,1.389166084,P,A,13.45,1.128722284,9.3,0.968482949,11.375,1.055951405,1.164091,1,0,15,1.176091259,12.7,*,-1,0,0,0,0
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00009000,10-01-2020,9,0.954242509,C,A,4.4,0.643452676,3.1,0.491361694,3.75,0.574031268,1.006115,1,0,10,1,12.7,*,0.984386,0.000824,0.018534,-0.00458,0.002407
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00009500,10-01-2020,9.5,0.977723605,C,A,4.2,0.62324929,2.65,0.423245874,3.425,0.534660576,1.006115,2,0.301029996,2,0.301029996,12.7,*,0.966337,0.001573,0.035384,-0.008361,0.002476
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00010000,10-01-2020,10,1,C,A,4.65,0.667452953,1.16,0.064457989,2.905,0.463146137,1.006115,13,1.113943352,60,1.77815125,12.7,*,0.935931,0.002636,0.059283,-0.01371,0.002498
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00011000,10-01-2020,11,1.041392685,C,A,2.25,0.352182518,1.51,0.178976947,1.88,0.274157849,1.006115,99,1.995635195,213,2.328379603,12.7,*,0.828732,0.005345,0.120219,-0.027313,0.002359
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00011000,10-01-2020,11,1.041392685,P,A,0.26,-0.585026652,0.08,-1.096910013,0.17,-0.769551079,1.006115,97,1.986771734,543,2.73479983,12.7,*,-0.171095,0.005405,0.120552,-0.026845,-0.000614
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00011500,10-01-2020,11.5,1.06069784,C,A,1.83,0.26245109,1.26,0.100370545,1.545,0.188928484,1.006115,36,1.556302501,424,2.627365857,12.7,,0.752457,0.006645,0.149463,-0.033824,0.002195
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00011500,10-01-2020,11.5,1.06069784,P,A,0.5,-0.301029996,0.18,-0.744727495,0.34,-0.468521083,1.006115,459,2.661812686,484,2.684845362,12.7,*,-0.247308,0.006827,0.150124,-0.033405,-0.000883
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00012000,10-01-2020,12,1.079181246,C,A,1.56,0.193124598,0.99,-0.004364805,1.275,0.105510185,1.077633,408,2.610660163,860,2.934498451,12.7,,0.659027,0.007711,0.161925,-0.041898,0.001944
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00012000,10-01-2020,12,1.079181246,P,A,0.65,-0.187086643,0.35,-0.455931956,0.5,-0.301029996,0.98636,2375,3.375663614,2595,3.414137362,12.7,,-0.332938,0.00764,0.176015,-0.037603,-0.001188
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00012500,10-01-2020,12.5,1.096910013,C,A,1.73,0.238046103,0.86,-0.065501549,1.295,0.112269768,1.220662,316,2.499687083,495,2.694605199,12.7,*,0.572222,0.008248,0.152919,-0.050647,0.001684
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00012500,10-01-2020,12.5,1.096910013,P,A,1.13,0.053078443,0.7,-0.15490196,0.915,-0.038578906,1.220662,505,2.703291378,851,2.92992956,12.7,,-0.42788,0.008274,0.153647,-0.05027,-0.001563
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00013000,10-01-2020,13,1.113943352,C,A,1.1,0.041392685,0.36,-0.443697499,0.73,-0.13667714,1.192986,457,2.6599162,1179,3.071513805,12.7,*,0.493219,0.008385,0.159058,-0.050283,0.001478
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00013000,10-01-2020,13,1.113943352,P,A,1.44,0.158362492,0.89,-0.050609993,1.165,0.066325925,1.192986,460,2.662757832,937,2.971739591,12.7,,-0.507016,0.008359,0.159855,-0.049892,-0.001837
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00013500,10-01-2020,13.5,1.130333768,C,A,1.15,0.06069784,0.71,-0.148741651,0.93,-0.031517051,1.493549,537,2.729974286,1162,3.065206128,12.7,,0.451649,0.008325,0.126133,-0.062403,0.001317
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00013500,10-01-2020,13.5,1.130333768,P,A,3.95,0.596597096,0.86,-0.065501549,2.405,0.381115081,1.493549,176,2.245512668,357,2.552668216,12.7,*,-0.548543,0.008328,0.126679,-0.062008,-0.002078
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00014000,10-01-2020,14,1.146128036,C,A,0.8,-0.096910013,0.48,-0.318758763,0.64,-0.193820026,1.337103,6725,3.827692289,2114,3.325104983,12.7,,0.371666,0.007948,0.134526,-0.053342,0.001118
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00014000,10-01-2020,14,1.146128036,P,A,2.28,0.357934847,1.47,0.167317335,1.875,0.273001272,1.261553,460,2.662757832,541,2.733197265,12.7,,-0.640951,0.007926,0.141629,-0.049308,-0.002325
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00014500,10-01-2020,14.5,1.161368002,C,A,0.58,-0.236572006,0.36,-0.443697499,0.47,-0.327902142,1.286386,280,2.447158031,608,2.783903579,12.7,,0.303723,0.00735,0.129293,-0.047439,0.000928
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00014500,10-01-2020,14.5,1.161368002,P,A,4.35,0.638489257,1.74,0.240549248,3.045,0.483587297,1.286386,1,0,266,2.424881637,12.7,*,-0.696857,0.007224,0.129881,-0.046939,-0.002511
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00015000,10-01-2020,15,1.176091259,C,A,0.45,-0.346787486,0.3,-0.522878745,0.375,-0.425968732,1.301334,766,2.88422877,2440,3.387389826,12.7,,0.253745,0.006733,0.117081,-0.043948,0.00078
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00015000,10-01-2020,15,1.176091259,P,A,3.15,0.498310554,2.31,0.36361198,2.73,0.436162647,1.390506,41,1.612783857,2748,3.439016728,12.7,,-0.728431,0.00684,0.114089,-0.048148,-0.00266
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00015500,10-01-2020,15.5,1.190331698,C,A,0.4,-0.397940009,0.23,-0.638272164,0.315,-0.501689446,1.342371,84,1.924279286,750,2.875061263,12.7,,0.216703,0.00617,0.104021,-0.041535,0.000668
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00015500,10-01-2020,15.5,1.190331698,P,A,4.95,0.694605199,0.8,-0.096910013,2.875,0.458637849,1.342371,24,1.380211242,29,1.462397998,12.7,*,-0.784308,0.006415,0.104436,-0.040935,-0.002796
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00016000,10-01-2020,16,1.204119983,C,A,0.35,-0.455931956,0.29,-0.537602002,0.32,-0.494850022,1.473994,185,2.267171728,712,2.852479994,12.7,,0.205328,0.005978,0.091785,-0.044173,0.000627
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00016000,10-01-2020,16,1.204119983,P,A,5.1,0.707570176,2.5,0.397940009,3.8,0.579783597,1.473994,2,0.301029996,123,2.089905111,12.7,*,-0.795473,0.005948,0.092116,-0.043543,-0.002906
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00016500,10-01-2020,16.5,1.217483944,C,A,0.33,-0.48148606,0.15,-0.823908741,0.24,-0.619788758,1.54256,280,2.447158031,1200,3.079181246,12.7,*,0.185235,0.005616,0.082384,-0.043414,0.000564
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00017000,10-01-2020,17,1.230448921,C,A,0.3,-0.522878745,0.13,-0.886056648,0.215,-0.66756154,1.611125,200,2.301029996,737,2.867467488,12.7,*,0.168952,0.005298,0.074422,-0.042775,0.000513
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00017500,10-01-2020,17.5,1.243038049,C,A,0.3,-0.522878745,0.21,-0.677780705,0.255,-0.59345982,1.679691,682,2.833784375,370,2.568201724,12.7,,0.155687,0.005024,0.067684,-0.042277,0.000472
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00018000,10-01-2020,18,1.255272505,C,A,0.22,-0.657577319,0.1,-1,0.16,-0.795880017,1.699997,86,1.934498451,202,2.305351369,12.7,*,0.136316,0.004595,0.061161,-0.039128,0.000414
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00018000,10-01-2020,18,1.255272505,P,A,6.95,0.841984805,2.75,0.439332694,4.85,0.685741739,1.699997,10,1,48,1.681241237,12.7,*,-0.86468,0.004511,0.0613,-0.038329,-0.003222
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00019000,10-01-2020,19,1.278753601,P,A,7.95,0.900367129,3.75,0.574031268,5.85,0.767155866,1.74061,10,1,54,1.73239376,12.7,*,-0.896292,0.004047,0.049771,-0.032437,-0.00328
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00019500,10-01-2020,19.5,1.290034611,C,A,0.29,-0.537602002,0.06,-1.22184875,0.175,-0.756961951,1.760916,62,1.792391689,905,2.956648579,12.7,*,0.092788,0.003492,0.044873,-0.030794,0.000284
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00020000,10-01-2020,20,1.301029996,C,A,0.14,-0.853871964,0.11,-0.958607315,0.125,-0.903089987,1.781222,212,2.326335861,552,2.741939078,12.7,,0.082079,0.003186,0.040481,-0.028423,0.000251
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00020000,10-01-2020,20,1.301029996,P,A,8,0.903089987,6.4,0.806179974,7.2,0.857332496,1.781222,7,0.84509804,34,1.531478917,12.7,*,-0.919279,0.003099,0.040469,-0.027427,-0.00331
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00020500,10-01-2020,20.5,1.311753861,C,A,0.28,-0.552841969,0.01,-2,0.145,-0.838631998,1.781222,6,0.77815125,44,1.643452676,12.7,*,0.07011,0.002826,0.035902,-0.025207,0.000215
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00021500,10-01-2020,21.5,1.33243846,P,A,10.45,1.01911629,6.3,0.799340549,8.375,0.922984816,1.781222,5,0.698970004,9,0.954242509,12.7,*,-0.950746,0.002279,0.027826,-0.018472,-0.00317
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00022000,10-01-2020,22,1.342422681,C,A,0.16,-0.795880017,0.02,-1.698970004,0.09,-1.045757491,1.781222,52,1.716003344,172,2.235528447,12.7,*,0.043219,0.001929,0.024504,-0.017202,0.000134
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00022000,10-01-2020,22,1.342422681,P,A,11.2,1.049218023,6.8,0.832508913,9,0.954242509,1.781222,19,1.278753601,19,1.278753601,12.7,*,-0.958261,0.001917,0.024453,-0.016079,-0.0031
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00023000,10-01-2020,23,1.361727836,C,A,0.15,-0.823908741,0.01,-2,0.08,-1.096910013,1.781222,23,1.361727836,1084,3.035029282,12.7,*,0.031072,0.001473,0.018708,-0.013132,0.000097
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00023000,10-01-2020,23,1.361727836,P,A,11.5,1.06069784,7.9,0.897627091,9.7,0.986771734,1.781222,17,1.230448921,35,1.544068044,12.7,*,-0.970627,0.001308,0.01861,-0.011926,-0.002891
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110P00023500,10-01-2020,23.5,1.371067862,P,A,12.15,1.084576278,8.5,0.929418926,10.325,1.01389006,1.781222,17,1.230448921,26,1.414973348,12.7,*,-0.975378,0.001304,0.016213,-0.010218,-0.002777
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200110C00025000,10-01-2020,25,1.397940009,C,A,0.19,-0.721246399,0.01,-2,0.1,-1,1.781222,75,1.875061263,313,2.495544338,12.7,*,0.015854,0.000835,0.010606,-0.007444,0.00005
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00009000,17-01-2020,9,0.954242509,P,A,0.03,-1.522878745,0.02,-1.698970004,0.025,-1.602059991,0.864702,69,1.838849091,562,2.749736316,12.7,,-0.025995,0.001655,0.02548,-0.004192,-0.000165
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00010000,17-01-2020,10,1,C,A,3.6,0.556302501,2.43,0.385606274,3.015,0.479287316,1.338923,165,2.217483944,887,2.94792362,12.7,*,0.83511,0.006801,0.067614,-0.027153,0.003507
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00010000,17-01-2020,10,1,P,A,0.3,-0.522878745,0.1,-1,0.2,-0.698970004,1.030084,298,2.474216264,19945,4.299834041,12.7,*,-0.116732,0.005526,0.069715,-0.016262,-0.000731
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00010500,17-01-2020,10.5,1.021189299,C,A,2.88,0.459392488,2.04,0.309630167,2.46,0.390935107,1.267194,1,0,1,0,12.7,*,0.798253,0.007713,0.081029,-0.029118,0.003484
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00010500,17-01-2020,10.5,1.021189299,P,A,0.43,-0.366531544,0.12,-0.920818754,0.275,-0.560667306,1.112774,114,2.056904851,852,2.930439595,12.7,*,-0.179915,0.00719,0.08601,-0.023402,-0.00122
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00011000,17-01-2020,11,1.041392685,C,A,2.51,0.399673721,2,0.301029996,2.255,0.353146546,1.195465,120,2.079181246,443,2.646403726,12.7,,0.754672,0.008622,0.096012,-0.030679,0.003414
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00011000,17-01-2020,11,1.041392685,P,A,0.45,-0.346787486,0.2,-0.698970004,0.325,-0.488116639,1.195465,186,2.269512944,5862,3.768045814,12.7,*,-0.245269,0.008662,0.096394,-0.030258,-0.001577
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00011500,17-01-2020,11.5,1.06069784,C,A,3.1,0.491361694,0.68,-0.167491087,1.89,0.276461804,1.088154,30,1.477121255,37,1.568201724,12.7,*,0.706659,0.009432,0.115387,-0.03054,0.003325
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00012000,17-01-2020,12,1.079181246,P,A,0.94,-0.026872146,0.51,-0.292429824,0.725,-0.139661993,0.980843,344,2.536558443,1511,3.179264464,12.7,,-0.352961,0.010242,0.13883,-0.029253,-0.002197
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00012500,17-01-2020,12.5,1.096910013,C,A,2,0.301029996,1,0,1.5,0.176091259,1.123027,92,1.963787827,344,2.536558443,12.7,*,0.575402,0.010738,0.127288,-0.035765,0.002787
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00012500,17-01-2020,12.5,1.096910013,P,A,1.51,0.178976947,0.15,-0.823908741,0.83,-0.080921908,1.095392,111,2.045322979,437,2.640481437,12.7,*,-0.425276,0.010765,0.131163,-0.034453,-0.002693
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00013000,17-01-2020,13,1.113943352,C,A,1.5,0.176091259,1.01,0.004321374,1.255,0.098643726,1.265211,1226,3.08849047,2843,3.45377686,12.7,,0.521571,0.010918,0.114876,-0.040895,0.002501
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00013000,17-01-2020,13,1.113943352,P,A,1.72,0.235528447,1.25,0.096910013,1.485,0.171726454,1.209942,557,2.745855195,1508,3.178401342,12.7,,-0.482623,0.010966,0.120848,-0.038715,-0.003119
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00013500,17-01-2020,13.5,1.130333768,C,A,1.7,0.230448921,0.68,-0.167491087,1.19,0.075546961,1.272054,1267,3.102776615,262,2.418301291,12.7,*,0.467246,0.010897,0.11404,-0.041012,0.002266
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00013500,17-01-2020,13.5,1.130333768,P,A,2.33,0.367355921,1.39,0.1430148,1.86,0.269512944,1.272054,67,1.826074803,246,2.390935107,12.7,,-0.533109,0.010838,0.114628,-0.040557,-0.003474
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00014000,17-01-2020,14,1.146128036,C,A,0.95,-0.022276395,0.75,-0.124938737,0.85,-0.070581074,1.22384,977,2.989894564,2428,3.385248682,12.7,,0.407595,0.01064,0.115728,-0.038512,0.002015
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00014000,17-01-2020,14,1.146128036,P,A,2.66,0.424881637,1.66,0.220108088,2.16,0.334453751,1.242044,150,2.176091259,1797,3.254548077,12.7,,-0.590009,0.010716,0.114795,-0.038652,-0.00382
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00014500,17-01-2020,14.5,1.161368002,C,A,1.08,0.033423755,0.7,-0.15490196,0.89,-0.050609993,1.400303,219,2.340444115,173,2.238046103,12.7,,0.387931,0.0105,0.099817,-0.043444,0.00188
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117P00014500,17-01-2020,14.5,1.161368002,P,A,4,0.602059991,2.13,0.328379603,3.065,0.486430479,1.760157,154,2.187520721,163,2.212187604,12.7,,-0.562585,0.010804,0.082063,-0.055676,-0.004056
UVXY,NYSEArca,31-12-2019,12.89,UVXY  200117C00015000,17-01-2020,15,1.176091259,C,A,0.98,-0.008773924,0.54,-0.26760624,0.76,-0.119186408,1.400252,299,2.475671188,2574,3.410608543,12.7,,0.345712,0.010106,0.096075,-0.0418,0.001691
